Order_ID,Order_Date,Customer_ID,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Sales_Channel
ORD10001,2025-04-13,CUST1248,Gurgaon,Clothing,Jacket,3,3200,0.0,9600.0,2939.08,Online
ORD10002,2025-12-15,CUST1168,Gurgaon,Furniture,Bookshelf,2,6000,0.15,10200.0,3464.47,Store
ORD10003,2025-09-28,CUST1203,Chandigarh,Electronics,Laptop,5,55000,0.0,275000.0,62687.47,Store
ORD10004,2025-04-17,CUST1188,Faridabad,Furniture,Desk,3,11000,0.0,33000.0,6925.2,Store
ORD10005,2025-03-13,CUST1076,Noida,Home & Kitchen,Cookware Set,5,3500,0.1,15750.0,3029.23,Online
ORD10006,2025-07-08,CUST1105,Ghaziabad,Electronics,Laptop,4,55000,0.2,176000.0,61960.01,Store
ORD10007,2025-01-21,CUST1083,Noida,Clothing,Sneakers,3,2800,0.2,6720.0,2303.07,Store
ORD10008,2025-04-13,CUST1089,Gurgaon,Clothing,Jeans,4,1800,0.0,7200.0,1472.83,Store
ORD10009,2025-05-02,CUST1023,Chandigarh,Furniture,Table Lamp,3,1800,0.2,4320.0,1381.21,Online
ORD10010,2025-08-03,CUST1247,Gurgaon,Electronics,Laptop,1,55000,0.0,55000.0,11004.68,Store
ORD10011,2025-11-27,CUST1067,Chandigarh,Furniture,Office Chair,3,8500,0.1,22950.0,6740.29,Online
ORD10012,2025-03-29,CUST1157,Delhi,Furniture,Table Lamp,2,1800,0.15,3060.0,676.86,Store
ORD10013,2025-04-10,CUST1185,Delhi,Home & Kitchen,Cookware Set,3,3500,0.15,8925.0,1610.62,Online
ORD10014,2025-12-26,CUST1086,Gurgaon,Furniture,Office Chair,3,8500,0.0,25500.0,9518.98,Store
ORD10015,2025-06-01,CUST1038,Ghaziabad,Furniture,Office Chair,3,8500,0.05,24225.0,7548.11,Online
ORD10016,2025-05-11,CUST1184,Chandigarh,Home & Kitchen,Air Fryer,4,7000,0.2,22400.0,7940.85,Online
ORD10017,2025-05-30,CUST1076,Ghaziabad,Furniture,Table Lamp,5,1800,0.2,7200.0,2405.88,Store
ORD10018,2025-11-05,CUST1026,,Clothing,Jacket,3,3200,0.1,8640.0,2306.0,Online
ORD10019,2025-09-15,CUST1104,Jaipur,Furniture,Office Chair,4,8500,0.1,30600.0,5758.46,Store
ORD10020,2025-12-10,CUST1141,Jaipur,Furniture,Table Lamp,2,1800,0.1,3240.0,1131.83,Store
ORD10021,2025-10-21,CUST1236,Faridabad,Clothing,T-Shirt,1,900,0.15,765.0,199.98,Store
ORD10022,2025-07-11,CUST1106,Delhi,Electronics,Monitor,5,12000,0.2,48000.0,11450.51,Store
ORD10023,2025-10-04,CUST1029,Jaipur,Home & Kitchen,Air Fryer,2,7000,0.0,14000.0,4132.43,Store
ORD10024,2025-06-10,CUST1149,Gurgaon,Clothing,T-Shirt,3,900,0.0,2700.0,964.85,Store
ORD10025,2025-11-10,CUST1055,Noida,Electronics,Monitor,1,12000,0.0,12000.0,2472.25,Store
ORD10026,2025-01-22,CUST1202,Faridabad,Home & Kitchen,Air Fryer,5,7000,0.0,35000.0,8090.25,Online
ORD10027,2025-09-10,CUST1244,Delhi,Furniture,Office Chair,2,8500,0.0,17000.0,6071.49,Store
ORD10028,2025-08-24,CUST1091,Delhi,Clothing,Jacket,2,3200,0.05,6080.0,1725.7,Store
